id,size,loc,branch_yn,crown_yn,fruit_yn,gnarl_yn,root_yn
나무_10_여_00083.jpg,big,center,y,y,y,n,y
나무_10_여_00180.jpg,middle,center,y,y,y,n,y
나무_10_여_00253.jpg,small,center,y,y,y,n,y
나무_10_여_00299.jpg,big,center,y,y,y,n,y
나무_10_여_00301.jpg,small,right,y,y,y,n,y
나무_10_여_00457.jpg,big,center,y,y,y,y,y
나무_10_여_00461.jpg,middle,left,y,y,y,y,y
나무_10_여_00528.jpg,big,center,y,y,y,n,y
나무_10_여_00576.jpg,middle,center,y,y,y,y,y
나무_10_여_00713.jpg,middle,center,y,y,y,n,y
나무_10_여_00716.jpg,middle,center,y,y,y,n,y
나무_10_여_00730.jpg,middle,center,y,y,y,n,y
나무_10_여_00855.jpg,middle,center,y,y,y,n,y
나무_10_여_00863.jpg,middle,left,y,y,y,n,y
나무_10_여_00926.jpg,middle,left,y,y,y,n,y
나무_10_여_01018.jpg,middle,center,y,y,y,y,y
나무_10_여_01078.jpg,middle,center,y,y,y,n,y
나무_10_여_01088.jpg,middle,left,y,y,y,y,y
나무_10_여_01158.jpg,middle,center,y,y,y,n,y
나무_10_여_01230.jpg,small,left,y,y,n,y,y
나무_10_여_01265.jpg,middle,center,y,y,y,y,y
나무_10_여_01303.jpg,middle,center,y,y,y,y,y
나무_10_여_01317.jpg,big,center,y,y,n,n,y
나무_10_여_01322.jpg,middle,center,y,y,y,n,y
나무_10_여_01411.jpg,big,center,y,y,y,y,y
나무_10_여_01517.jpg,middle,center,y,y,y,n,y
나무_10_여_01571.jpg,middle,center,y,y,y,n,y
나무_10_여_01720.jpg,big,center,y,y,y,n,y
나무_10_여_01735.jpg,big,center,y,y,y,y,y
나무_10_여_01931.jpg,middle,center,y,y,y,n,y
나무_10_여_01937.jpg,middle,center,y,y,y,n,y
나무_10_여_01951.jpg,big,center,y,y,y,y,y
나무_10_여_02081.jpg,middle,center,y,y,y,n,y
나무_10_여_02195.jpg,big,center,y,y,y,n,y
나무_10_여_02213.jpg,middle,right,y,y,y,y,y
나무_10_여_02398.jpg,middle,right,y,y,y,n,y
나무_10_여_02440.jpg,middle,center,y,y,y,n,y
나무_10_여_02497.jpg,middle,center,y,y,y,n,y
나무_10_여_02520.jpg,middle,left,y,y,y,y,y
나무_10_여_02549.jpg,middle,right,y,y,y,n,y
나무_10_여_02552.jpg,big,center,y,y,y,n,y
나무_10_여_02561.jpg,small,center,y,y,y,n,y
나무_10_여_02642.jpg,middle,center,y,y,y,n,y
나무_10_여_02707.jpg,middle,center,y,y,y,n,y
나무_10_여_02767.jpg,middle,center,y,y,y,y,y
나무_10_여_03247.jpg,middle,right,y,y,y,y,y
나무_10_여_03287.jpg,middle,center,y,y,y,n,y
나무_10_여_03312.jpg,middle,right,y,y,y,n,y
나무_10_여_03574.jpg,middle,center,y,y,y,y,y
나무_10_여_03613.jpg,middle,center,y,y,y,y,y
나무_10_여_03904.jpg,big,center,y,y,y,n,y
나무_10_여_03937.jpg,big,center,y,y,y,n,y
나무_10_여_04038.jpg,middle,center,y,y,y,n,y
나무_10_여_04157.jpg,middle,center,y,y,y,y,y
나무_10_여_04548.jpg,middle,center,y,y,y,y,y
나무_10_여_04565.jpg,middle,center,y,y,y,y,y
나무_10_여_04567.jpg,big,center,y,y,y,n,y
나무_10_여_04613.jpg,middle,center,y,y,y,n,y
나무_10_여_04684.jpg,middle,center,y,y,y,y,y
나무_10_여_04834.jpg,big,center,y,y,y,n,y
나무_10_여_04882.jpg,middle,center,y,y,y,n,y
나무_10_여_04980.jpg,middle,left,y,y,y,n,y
나무_10_여_05117.jpg,middle,center,y,y,y,n,y
나무_10_여_05214.jpg,big,center,y,y,y,y,y
나무_10_여_05384.jpg,big,center,y,y,y,n,y
나무_10_여_05493.jpg,big,center,y,y,y,y,y
나무_10_여_05610.jpg,middle,center,y,y,y,y,y
나무_10_여_05731.jpg,big,center,y,y,y,n,y
나무_10_여_05948.jpg,middle,left,y,y,y,n,y
나무_10_여_05962.jpg,middle,center,y,y,y,y,y
나무_10_여_06006.jpg,middle,center,y,y,y,y,y
나무_10_여_06139.jpg,middle,center,y,y,y,n,y
나무_10_여_06184.jpg,small,center,y,y,y,n,y
나무_10_여_06244.jpg,middle,center,y,y,y,n,y
나무_10_여_06353.jpg,middle,center,y,y,y,n,y
나무_10_여_06368.jpg,middle,left,y,y,y,n,y
나무_10_여_06383.jpg,middle,center,y,y,n,n,y
나무_10_여_06400.jpg,middle,center,y,y,y,y,y
나무_10_여_06405.jpg,middle,center,y,y,y,y,y
나무_10_여_06431.jpg,middle,center,y,y,y,n,y
나무_10_여_06434.jpg,middle,left,y,y,y,y,y
나무_10_여_06478.jpg,middle,left,y,y,y,n,y
나무_10_여_06724.jpg,middle,center,y,y,y,n,y
나무_10_여_06734.jpg,middle,right,y,y,y,n,y
나무_10_여_06834.jpg,middle,center,y,y,y,n,y
나무_10_여_06843.jpg,big,center,y,y,y,n,y
나무_10_여_06976.jpg,middle,center,y,y,y,n,y
나무_10_여_06984.jpg,big,center,y,y,y,y,y
나무_10_여_07012.jpg,middle,center,y,y,y,n,y
나무_10_여_07074.jpg,middle,center,y,y,y,n,y
나무_10_여_07102.jpg,middle,center,y,y,y,n,y
나무_10_여_07117.jpg,big,center,y,y,y,y,y
나무_10_여_07126.jpg,middle,center,y,y,y,y,y
나무_10_여_07158.jpg,big,center,y,y,y,y,y
나무_10_여_07346.jpg,small,center,y,y,y,n,y
나무_10_여_07402.jpg,middle,center,y,y,y,n,y
나무_10_여_07461.jpg,middle,center,y,y,y,n,y
나무_10_여_07561.jpg,big,center,y,y,y,n,y
나무_10_여_07974.jpg,middle,center,y,y,y,n,y
나무_10_여_07985.jpg,middle,left,y,y,y,n,y
나무_10_여_07990.jpg,middle,left,y,y,y,n,y
나무_10_여_08158.jpg,middle,center,y,y,y,n,y
나무_10_여_08266.jpg,big,center,y,y,y,y,y
나무_10_여_08430.jpg,middle,right,y,y,y,n,y
나무_10_여_08460.jpg,big,center,y,y,y,y,y
나무_10_여_08525.jpg,middle,center,y,y,y,n,y
나무_10_여_08541.jpg,middle,left,y,y,y,y,y
나무_10_여_08550.jpg,middle,left,y,y,y,n,y
나무_10_여_08675.jpg,middle,center,y,y,y,n,y
나무_10_여_09061.jpg,big,center,y,y,y,y,y
나무_10_여_09116.jpg,big,center,y,y,y,y,y
나무_10_여_09156.jpg,big,center,y,y,y,y,y
나무_10_여_09209.jpg,big,center,y,y,y,n,y
나무_10_여_09224.jpg,middle,center,y,y,y,n,y
나무_10_여_09392.jpg,middle,center,y,y,y,n,y
나무_10_여_09485.jpg,middle,center,y,y,y,n,y
나무_10_여_09547.jpg,middle,left,y,y,y,n,y
나무_10_여_09556.jpg,middle,center,y,y,y,n,y
나무_10_여_09579.jpg,middle,center,y,y,y,n,y
나무_10_여_09744.jpg,middle,center,y,y,y,n,y
나무_10_여_09814.jpg,big,center,y,y,y,y,y
