filename,group,eye_yn,leg_yn,mouth_yn,arm_yn,branch_yn,root_yn,crown_yn,fruit_yn,door_yn,roof_yn,window_yn
house_7_female_00172.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_00352.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_00722.jpg,house,n,n,n,n,n,n,n,n,n,y,y
house_7_female_00986.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01057.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01130.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01343.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01377.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01521.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_01542.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04110.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04165.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04319.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04443.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04873.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04975.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_04986.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05280.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05303.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05410.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05469.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05485.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05776.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_05913.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_06147.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_06834.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_06959.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_07321.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_07451.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_07484.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_07979.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_09108.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_09339.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_10320.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_10449.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_11064.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_11499.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_11591.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_11887.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_12040.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_12262.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_12888.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_13261.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_13269.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_13407.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_13483.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_female_13683.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_00330.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_00552.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_00885.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_01075.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_01810.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_01996.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_02315.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_02385.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_02915.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_03219.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_03296.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_03613.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_03852.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_03855.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_04668.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_05109.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_05162.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_05673.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06076.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06187.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06293.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06575.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06605.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06739.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06747.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06749.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06825.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06930.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_06969.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_07426.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_07842.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_08007.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_08081.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_08557.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_08769.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_08791.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_09276.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_09691.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_09960.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_10044.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_10082.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_10209.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_10507.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_10741.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_11011.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_11841.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_12304.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_12890.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_12947.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_13172.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_13881.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_7_male_13970.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00112.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00195.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00288.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00292.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00341.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00381.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00388.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00427.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00447.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00469.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00488.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00540.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00556.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00574.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00597.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00619.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00640.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00674.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00830.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00834.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00894.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00895.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00939.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_00949.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_01067.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_01137.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_01231.jpg,house,n,n,n,n,n,n,n,n,y,y,y
house_8_female_01274.jpg,house,n,n,n,n,n,n,n,n,y,y,y
